,year,variable,value
0,1920,16,0.0
1,1921,16,0.0
2,1922,16,0.0
3,1923,16,0.0
4,1924,16,0.0
5,1925,16,0.0
6,1926,16,0.0
7,1927,16,0.0
8,1928,16,0.0
9,1929,16,0.0
10,1930,16,0.0
11,1931,16,0.0
12,1932,16,0.0
13,1933,16,0.0
14,1934,16,0.0
15,1935,16,0.0
16,1936,16,0.0
17,1937,16,0.0
18,1938,16,0.0
19,1939,16,0.0
20,1940,16,0.0
21,1941,16,0.0
22,1942,16,0.0
23,1943,16,0.0
24,1944,16,0.0
25,1945,16,0.0
26,1946,16,0.0
27,1947,16,0.0
28,1948,16,0.0
29,1949,16,0.0
30,1950,16,0.0
31,1951,16,0.0
32,1952,16,0.0
33,1953,16,0.0
34,1954,16,0.0
35,1955,16,0.0
36,1956,16,0.0
37,1957,16,0.0
38,1958,16,0.0
39,1959,16,0.0
40,1960,16,0.0
41,1961,16,0.0
42,1962,16,0.0
43,1963,16,0.0
44,1964,16,0.0
45,1965,16,0.0
46,1966,16,0.0
47,1967,16,0.0
48,1968,16,0.0
49,1969,16,0.0
50,1970,16,0.0
51,1971,16,0.0
52,1972,16,0.0
53,1973,16,0.0
54,1974,16,0.0
55,1975,16,0.0
56,1976,16,0.0
57,1977,16,0.0
58,1978,16,0.0
59,1979,16,0.0
60,1980,16,0.0
61,1981,16,0.01
62,1982,16,0.01
63,1983,16,0.0
64,1984,16,0.0
65,1985,16,0.0
66,1986,16,0.0
67,1987,16,0.0
68,1988,16,0.0
69,1989,16,0.0
70,1990,16,0.0
71,1991,16,0.0
72,1992,16,0.0
73,1993,16,0.0
74,1994,16,0.0
75,1995,16,0.0
76,1996,16,0.0
77,1997,16,0.0
78,1998,16,0.0
79,1999,16,0.0
80,2000,16,0.0
81,2001,16,0.0
82,2002,16,0.0
83,2003,16,0.0
84,2004,16,0.0
85,1920,17,0.0
86,1921,17,0.0
87,1922,17,0.0
88,1923,17,0.0
89,1924,17,0.0
90,1925,17,0.0
91,1926,17,0.0
92,1927,17,0.0
93,1928,17,0.0
94,1929,17,0.0
95,1930,17,0.0
96,1931,17,0.0
97,1932,17,0.0
98,1933,17,0.0
99,1934,17,0.0
100,1935,17,0.0
101,1936,17,0.0
102,1937,17,0.0
103,1938,17,0.0
104,1939,17,0.0
105,1940,17,0.01
106,1941,17,0.01
107,1942,17,0.01
108,1943,17,0.01
109,1944,17,0.01
110,1945,17,0.01
111,1946,17,0.01
112,1947,17,0.01
113,1948,17,0.02
114,1949,17,0.02
115,1950,17,0.02
116,1951,17,0.02
117,1952,17,0.02
118,1953,17,0.02
119,1954,17,0.02
120,1955,17,0.02
121,1956,17,0.02
122,1957,17,0.02
123,1958,17,0.02
124,1959,17,0.02
125,1960,17,0.02
126,1961,17,0.02
127,1962,17,0.01
128,1963,17,0.01
129,1964,17,0.01
130,1965,17,0.01
131,1966,17,0.01
132,1967,17,0.01
133,1968,17,0.01
134,1969,17,0.02
135,1970,17,0.02
136,1971,17,0.02
137,1972,17,0.02
138,1973,17,0.02
139,1974,17,0.02
140,1975,17,0.02
141,1976,17,0.02
142,1977,17,0.02
143,1978,17,0.02
144,1979,17,0.02
145,1980,17,0.02
146,1981,17,0.02
147,1982,17,0.02
148,1983,17,0.02
149,1984,17,0.02
150,1985,17,0.02
151,1986,17,0.02
152,1987,17,0.02
153,1988,17,0.01
154,1989,17,0.01
155,1990,17,0.01
156,1991,17,0.01
157,1992,17,0.01
158,1993,17,0.01
159,1994,17,0.01
160,1995,17,0.01
161,1996,17,0.01
162,1997,17,0.01
163,1998,17,0.01
164,1999,17,0.01
165,2000,17,0.01
166,2001,17,0.01
167,2002,17,0.0
168,2003,17,0.0
169,2004,17,
170,1920,18,0.01
171,1921,18,0.01
172,1922,18,0.01
173,1923,18,0.01
174,1924,18,0.01
175,1925,18,0.01
176,1926,18,0.01
177,1927,18,0.01
178,1928,18,0.02
179,1929,18,0.01
180,1930,18,0.01
181,1931,18,0.02
182,1932,18,0.02
183,1933,18,0.02
184,1934,18,0.02
185,1935,18,0.02
186,1936,18,0.02
187,1937,18,0.02
188,1938,18,0.02
189,1939,18,0.02
190,1940,18,0.03
191,1941,18,0.03
192,1942,18,0.03
193,1943,18,0.04
194,1944,18,0.04
