year,variable,value,count
2004,16,0.0,1
2003,16,0.0,2
2003,17,0.0,2
2002,16,0.0,3
2002,17,0.0,3
2002,18,1.0,3
2001,16,0.0,4
2001,17,0.0,4
2001,18,1.0,4
2001,19,3.0,4
2000,16,0.0,5
2000,17,1.0,5
2000,18,1.0,5
2000,19,3.0,5
2000,20,5.0,5
1999,16,0.0,6
1999,17,1.0,6
1999,18,2.0,6
1999,19,3.0,6
1999,20,5.0,6
1999,21,8.0,6
1998,16,0.0,7
1998,17,1.0,7
1998,18,2.0,7
1998,19,3.0,7
1998,20,6.0,7
1998,21,8.0,7
1998,22,11.0,7
1997,16,0.0,8
1997,17,1.0,8
1997,18,2.0,8
1997,19,3.0,8
1997,20,6.0,8
1997,21,9.0,8
1997,22,11.0,8
1997,23,14.000000000000002,8
1996,16,0.0,9
1996,17,1.0,9
1996,18,2.0,9
1996,19,4.0,9
1996,20,6.0,9
1996,21,9.0,9
1996,22,12.0,9
1996,23,15.0,9
1996,24,18.0,9
1995,16,0.0,10
1995,17,1.0,10
1995,18,3.0,10
1995,19,4.0,10
1995,20,7.000000000000001,10
1995,21,10.0,10
1995,22,13.0,10
1995,23,16.0,10
1995,24,19.0,10
1995,25,22.0,10
1994,16,0.0,11
1994,17,1.0,11
1994,18,3.0,11
1994,19,5.0,11
1994,20,8.0,11
1994,21,10.0,11
1994,22,13.0,11
1994,23,16.0,11
1994,24,19.0,11
1994,25,23.0,11
1994,26,26.0,11
1993,16,0.0,12
1993,17,1.0,12
1993,18,3.0,12
1993,19,6.0,12
1993,20,9.0,12
1993,21,12.0,12
1993,22,14.000000000000002,12
1993,23,17.0,12
1993,24,21.0,12
1993,25,24.0,12
1993,26,28.000000000000004,12
1993,27,32.0,12
1992,16,0.0,13
1992,17,1.0,13
1992,18,3.0,13
1992,19,6.0,13
1992,20,9.0,13
1992,21,13.0,13
1992,22,16.0,13
1992,23,19.0,13
1992,24,22.0,13
1992,25,25.0,13
1992,26,28.999999999999996,13
1992,27,33.0,13
1992,28,37.0,13
1991,16,0.0,14
1991,17,1.0,14
1991,18,3.0,14
1991,19,7.000000000000001,14
1991,20,10.0,14
1991,21,14.000000000000002,14
1991,22,17.0,14
1991,23,20.0,14
1991,24,23.0,14
1991,25,26.0,14
1991,26,30.0,14
1991,27,34.0,14
1991,28,38.0,14
1991,29,43.0,14
1990,16,0.0,15
1990,17,1.0,15
1990,18,4.0,15
1990,19,7.000000000000001,15
1990,20,11.0,15
1990,21,15.0,15
1990,22,18.0,15
1990,23,22.0,15
1990,24,25.0,15
1990,25,28.999999999999996,15
1990,26,32.0,15
1990,27,36.0,15
1990,28,41.0,15
1990,29,45.0,15
1990,30,50.0,15
1989,16,0.0,16
1989,17,1.0,16
1989,18,4.0,16
1989,19,7.000000000000001,16
1989,20,11.0,16
1989,21,15.0,16
1989,22,19.0,16
1989,23,23.0,16
1989,24,27.0,16
1989,25,30.0,16
1989,26,34.0,16
1989,27,37.0,16
1989,28,42.0,16
1989,29,46.0,16
1989,30,51.0,16
1989,31,55.00000000000001,16
1988,16,0.0,17
1988,17,1.0,17
1988,18,4.0,17
1988,19,7.000000000000001,17
1988,20,11.0,17
1988,21,15.0,17
1988,22,19.0,17
1988,23,23.0,17
1988,24,27.0,17
1988,25,31.0,17
1988,26,35.0,17
1988,27,39.0,17
1988,28,43.0,17
1988,29,47.0,17
1988,30,52.0,17
1988,31,56.99999999999999,17
1988,32,61.0,17
1987,16,0.0,18
1987,17,1.0,18
1987,18,4.0,18
1987,19,7.000000000000001,18
1987,20,11.0,18
1987,21,15.0,18
1987,22,20.0,18
1987,23,24.0,18
1987,24,28.000000000000004,18
1987,25,32.0,18
1987,26,36.0,18
1987,27,40.0,18
1987,28,44.0,18
1987,29,48.0,18
1987,30,53.0,18
1987,31,56.99999999999999,18
1987,32,62.0,18
1987,33,66.0,18
1986,16,0.0,19
1986,17,2.0,19
1986,18,4.0,19
1986,19,8.0,19
1986,20,11.0,19
1986,21,16.0,19
1986,22,20.0,19
1986,23,24.0,19
1986,24,27.0,19
1986,25,32.0,19
1986,26,36.0,19
1986,27,40.0,19
1986,28,44.0,19
1986,29,48.0,19
1986,30,52.0,19
1986,31,56.99999999999999,19
1986,32,62.0,19
1986,33,66.0,19
1986,34,70.0,19
1985,16,0.0,20
1985,17,2.0,20
1985,18,4.0,20
1985,19,8.0,20
1985,20,11.0,20
1985,21,15.0,20
1985,22,19.0,20
1985,23,23.0,20
1985,24,27.0,20
1985,25,31.0,20
1985,26,35.0,20
1985,27,40.0,20
1985,28,44.0,20
1985,29,48.0,20
1985,30,53.0,20
1985,31,56.99999999999999,20
1985,32,62.0,20
1985,33,66.0,20
1985,34,69.0,20
1985,35,73.0,20
1984,16,0.0,21
1984,17,2.0,21
1984,18,4.0,21
1984,19,8.0,21
1984,20,12.0,21
1984,21,16.0,21
1984,22,20.0,21
1984,23,24.0,21
1984,24,27.0,21
1984,25,31.0,21
1984,26,35.0,21
1984,27,40.0,21
1984,28,45.0,21
1984,29,49.0,21
1984,30,53.0,21
1984,31,56.99999999999999,21
1984,32,62.0,21
1984,33,66.0,21
1984,34,70.0,21
1984,35,73.0,21
1984,36,76.0,21
1983,16,0.0,22
1983,17,2.0,22
1983,18,4.0,22
1983,19,8.0,22
1983,20,12.0,22
1983,21,16.0,22
1983,22,20.0,22
1983,23,24.0,22
1983,24,28.000000000000004,22
1983,25,32.0,22
1983,26,36.0,22
1983,27,40.0,22
1983,28,45.0,22
1983,29,50.0,22
1983,30,54.0,22
1983,31,57.99999999999999,22
1983,32,62.0,22
1983,33,66.0,22
1983,34,70.0,22
1983,35,73.0,22
1983,36,76.0,22
1983,37,78.0,22
1982,16,1.0,23
1982,17,2.0,23
1982,18,5.0,23
1982,19,9.0,23
1982,20,13.0,23
1982,21,17.0,23
1982,22,21.0,23
1982,23,24.0,23
1982,24,28.000000000000004,23
1982,25,32.0,23
1982,26,36.0,23
1982,27,41.0,23
1982,28,45.0,23
1982,29,50.0,23
1982,30,55.00000000000001,23
1982,31,59.0,23
1982,32,63.0,23
1982,33,67.0,23
1982,34,71.0,23
1982,35,74.0,23
1982,36,77.0,23
1982,37,79.0,23
1982,38,80.0,23
1981,16,1.0,24
1981,17,2.0,24
1981,18,5.0,24
1981,19,9.0,24
1981,20,13.0,24
1981,21,17.0,24
1981,22,21.0,24
1981,23,25.0,24
1981,24,28.000000000000004,24
1981,25,32.0,24
1981,26,36.0,24
1981,27,40.0,24
1981,28,45.0,24
1981,29,50.0,24
1981,30,55.00000000000001,24
1981,31,60.0,24
1981,32,64.0,24
1981,33,68.0,24
1981,34,71.0,24
1981,35,74.0,24
1981,36,77.0,24
1981,37,79.0,24
1981,38,81.0,24
1981,39,82.0,24
1980,16,0.0,25
1980,17,2.0,25
1980,18,5.0,25
1980,19,9.0,25
1980,20,13.0,25
1980,21,17.0,25
1980,22,21.0,25
1980,23,25.0,25
1980,24,28.000000000000004,25
1980,25,32.0,25
1980,26,36.0,25
1980,27,40.0,25
1980,28,44.0,25
1980,29,49.0,25
1980,30,54.0,25
1980,31,59.0,25
1980,32,64.0,25
1980,33,68.0,25
1980,34,71.0,25
1980,35,74.0,25
1980,36,76.0,25
1980,37,79.0,25
1980,38,80.0,25
1980,39,82.0,25
1980,40,83.0,25
1979,16,0.0,26
1979,17,2.0,26
1979,18,5.0,26
1979,19,8.0,26
1979,20,13.0,26
1979,21,17.0,26
1979,22,21.0,26
1979,23,25.0,26
1979,24,28.000000000000004,26
1979,25,32.0,26
1979,26,36.0,26
1979,27,40.0,26
1979,28,44.0,26
1979,29,49.0,26
1979,30,54.0,26
1979,31,59.0,26
1979,32,63.0,26
1979,33,68.0,26
1979,34,71.0,26
1979,35,74.0,26
1979,36,76.0,26
1979,37,78.0,26
1979,38,80.0,26
1979,39,81.0,26
1979,40,82.0,26
1979,41,83.0,26
1978,16,0.0,27
1978,17,2.0,27
1978,18,4.0,27
1978,19,8.0,27
1978,20,12.0,27
1978,21,17.0,27
1978,22,21.0,27
1978,23,24.0,27
1978,24,28.000000000000004,27
1978,25,31.0,27
1978,26,35.0,27
1978,27,39.0,27
1978,28,43.0,27
1978,29,48.0,27
1978,30,53.0,27
1978,31,57.99999999999999,27
1978,32,62.0,27
1978,33,67.0,27
1978,34,70.0,27
1978,35,73.0,27
1978,36,76.0,27
1978,37,77.0,27
1978,38,79.0,27
1978,39,80.0,27
1978,40,81.0,27
1978,41,82.0,27
1978,42,83.0,27
1977,16,0.0,28
1977,17,2.0,28
1977,18,4.0,28
1977,19,8.0,28
1977,20,12.0,28
1977,21,17.0,28
1977,22,21.0,28
1977,23,25.0,28
1977,24,28.000000000000004,28
1977,25,32.0,28
1977,26,35.0,28
1977,27,39.0,28
1977,28,44.0,28
1977,29,48.0,28
1977,30,53.0,28
1977,31,57.99999999999999,28
1977,32,63.0,28
1977,33,67.0,28
1977,34,70.0,28
1977,35,73.0,28
1977,36,76.0,28
1977,37,78.0,28
1977,38,79.0,28
1977,39,80.0,28
1977,40,81.0,28
1977,41,82.0,28
1977,42,83.0,28
1977,43,83.0,28
1976,16,0.0,29
1976,17,2.0,29
1976,18,4.0,29
1976,19,8.0,29
1976,20,12.0,29
1976,21,16.0,29
1976,22,20.0,29
1976,23,24.0,29
1976,24,28.000000000000004,29
1976,25,32.0,29
1976,26,35.0,29
1976,27,39.0,29
1976,28,43.0,29
1976,29,48.0,29
1976,30,52.0,29
1976,31,56.99999999999999,29
1976,32,62.0,29
1976,33,66.0,29
1976,34,69.0,29
1976,35,72.0,29
1976,36,75.0,29
1976,37,77.0,29
1976,38,78.0,29
1976,39,80.0,29
1976,40,81.0,29
1976,41,81.0,29
1976,42,82.0,29
1976,43,82.0,29
1976,44,82.0,29
1975,16,0.0,30
1975,17,2.0,30
1975,18,4.0,30
1975,19,8.0,30
1975,20,12.0,30
1975,21,16.0,30
1975,22,20.0,30
1975,23,24.0,30
1975,24,28.000000000000004,30
1975,25,31.0,30
1975,26,35.0,30
1975,27,39.0,30
1975,28,43.0,30
1975,29,47.0,30
1975,30,52.0,30
1975,31,56.00000000000001,30
1975,32,61.0,30
1975,33,65.0,30
1975,34,69.0,30
1975,35,71.0,30
1975,36,74.0,30
1975,37,76.0,30
1975,38,78.0,30
1975,39,79.0,30
1975,40,80.0,30
1975,41,81.0,30
1975,42,81.0,30
1975,43,81.0,30
1975,44,82.0,30
1975,45,82.0,30
1974,16,0.0,30
1974,17,2.0,30
1974,18,4.0,30
1974,19,8.0,30
