year,variable,value,count
2004,16,0.0,1
2003,16,0.0,2
2003,17,0.0,2
2002,16,0.0,3
2002,17,0.0,3
2002,18,0.01,3
2001,16,0.0,4
2001,17,0.01,4
2001,18,0.01,4
2001,19,0.03,4
2000,16,0.0,5
2000,17,0.01,5
2000,18,0.02,5
2000,19,0.03,5
2000,20,0.06,5
1999,16,0.0,6
1999,17,0.01,6
1999,18,0.02,6
1999,19,0.04,6
1999,20,0.06,6
1999,21,0.1,6
1998,16,0.0,7
1998,17,0.01,7
1998,18,0.02,7
1998,19,0.04,7
1998,20,0.07,7
1998,21,0.1,7
1998,22,0.14,7
1997,16,0.0,8
1997,17,0.01,8
1997,18,0.02,8
1997,19,0.04,8
1997,20,0.07,8
1997,21,0.11,8
1997,22,0.15,8
1997,23,0.2,8
1996,16,0.0,9
1996,17,0.01,9
1996,18,0.03,9
1996,19,0.05,9
1996,20,0.08,9
1996,21,0.12,9
1996,22,0.16,9
1996,23,0.21,9
1996,24,0.27,9
1995,16,0.0,10
1995,17,0.01,10
1995,18,0.03,10
1995,19,0.05,10
1995,20,0.09,10
1995,21,0.13,10
1995,22,0.18,10
1995,23,0.23,10
1995,24,0.29,10
1995,25,0.35,10
1994,16,0.0,11
1994,17,0.01,11
1994,18,0.03,11
1994,19,0.06,11
1994,20,0.09,11
1994,21,0.14,11
1994,22,0.19,11
1994,23,0.24,11
1994,24,0.3,11
1994,25,0.37,11
1994,26,0.44,11
1993,16,0.0,12
1993,17,0.01,12
1993,18,0.03,12
1993,19,0.06,12
1993,20,0.11,12
1993,21,0.15,12
1993,22,0.2,12
1993,23,0.26,12
1993,24,0.32,12
1993,25,0.39,12
1993,26,0.47,12
1993,27,0.55,12
1992,16,0.0,13
1992,17,0.01,13
1992,18,0.03,13
1992,19,0.07,13
1992,20,0.11,13
1992,21,0.16,13
1992,22,0.22,13
1992,23,0.28,13
1992,24,0.34,13
1992,25,0.41,13
1992,26,0.49,13
1992,27,0.57,13
1992,28,0.66,13
1991,16,0.0,14
1991,17,0.01,14
1991,18,0.04,14
1991,19,0.07,14
1991,20,0.12,14
1991,21,0.17,14
1991,22,0.23,14
1991,23,0.3,14
1991,24,0.36,14
1991,25,0.44,14
1991,26,0.52,14
1991,27,0.6,14
1991,28,0.7,14
1991,29,0.79,14
1990,16,0.0,15
1990,17,0.01,15
1990,18,0.04,15
1990,19,0.08,15
1990,20,0.13,15
1990,21,0.19,15
1990,22,0.25,15
1990,23,0.32,15
1990,24,0.4,15
1990,25,0.47,15
1990,26,0.56,15
1990,27,0.65,15
1990,28,0.75,15
1990,29,0.85,15
1990,30,0.96,15
1989,16,0.0,16
1989,17,0.01,16
1989,18,0.04,16
1989,19,0.08,16
1989,20,0.13,16
1989,21,0.19,16
1989,22,0.26,16
1989,23,0.33,16
1989,24,0.41,16
1989,25,0.49,16
1989,26,0.58,16
1989,27,0.67,16
1989,28,0.78,16
1989,29,0.88,16
1989,30,0.99,16
1989,31,1.09,16
1988,16,0.0,17
1988,17,0.01,17
1988,18,0.04,17
1988,19,0.08,17
1988,20,0.13,17
1988,21,0.2,17
1988,22,0.26,17
1988,23,0.34,17
1988,24,0.42,17
1988,25,0.51,17
1988,26,0.59,17
1988,27,0.69,17
1988,28,0.79,17
1988,29,0.9,17
1988,30,1.01,17
1988,31,1.12,17
1988,32,1.23,17
1987,16,0.0,18
1987,17,0.02,18
1987,18,0.04,18
1987,19,0.08,18
1987,20,0.14,18
1987,21,0.2,18
1987,22,0.27,18
1987,23,0.34,18
1987,24,0.42,18
1987,25,0.51,18
1987,26,0.6,18
1987,27,0.7,18
1987,28,0.8,18
1987,29,0.91,18
1987,30,1.03,18
1987,31,1.14,18
1987,32,1.25,18
1987,33,1.36,18
1986,16,0.0,19
1986,17,0.02,19
1986,18,0.04,19
1986,19,0.08,19
1986,20,0.14,19
1986,21,0.2,19
1986,22,0.27,19
1986,23,0.34,19
1986,24,0.42,19
1986,25,0.51,19
1986,26,0.6,19
1986,27,0.7,19
1986,28,0.8,19
1986,29,0.91,19
1986,30,1.02,19
1986,31,1.14,19
1986,32,1.25,19
1986,33,1.36,19
1986,34,1.46,19
1985,16,0.0,20
1985,17,0.02,20
1985,18,0.04,20
1985,19,0.08,20
1985,20,0.14,20
1985,21,0.2,20
1985,22,0.26,20
1985,23,0.34,20
1985,24,0.41,20
1985,25,0.5,20
1985,26,0.59,20
1985,27,0.69,20
1985,28,0.8,20
1985,29,0.9,20
1985,30,1.02,20
1985,31,1.13,20
1985,32,1.25,20
1985,33,1.36,20
1985,34,1.47,20
1985,35,1.56,20
1984,16,0.0,21
1984,17,0.02,21
1984,18,0.04,21
1984,19,0.09,21
1984,20,0.14,21
1984,21,0.2,21
1984,22,0.27,21
1984,23,0.34,21
1984,24,0.42,21
1984,25,0.5,21
1984,26,0.59,21
1984,27,0.69,21
1984,28,0.8,21
1984,29,0.91,21
1984,30,1.02,21
1984,31,1.13,21
1984,32,1.25,21
1984,33,1.37,21
1984,34,1.48,21
1984,35,1.57,21
1984,36,1.66,21
1983,16,0.0,22
1983,17,0.02,22
1983,18,0.05,22
1983,19,0.09,22
1983,20,0.14,22
1983,21,0.21,22
1983,22,0.27,22
1983,23,0.35,22
1983,24,0.42,22
1983,25,0.5,22
1983,26,0.6,22
1983,27,0.69,22
1983,28,0.8,22
1983,29,0.91,22
1983,30,1.02,22
1983,31,1.13,22
1983,32,1.25,22
1983,33,1.37,22
1983,34,1.47,22
1983,35,1.57,22
1983,36,1.66,22
1983,37,1.73,22
1982,16,0.01,23
1982,17,0.02,23
1982,18,0.05,23
1982,19,0.09,23
1982,20,0.15,23
1982,21,0.21,23
1982,22,0.28,23
1982,23,0.35,23
1982,24,0.43,23
1982,25,0.51,23
1982,26,0.6,23
1982,27,0.69,23
1982,28,0.8,23
1982,29,0.91,23
1982,30,1.02,23
1982,31,1.14,23
1982,32,1.26,23
1982,33,1.37,23
1982,34,1.48,23
1982,35,1.58,23
1982,36,1.67,23
1982,37,1.74,23
1982,38,1.8,23
1981,16,0.01,24
1981,17,0.02,24
1981,18,0.05,24
1981,19,0.1,24
1981,20,0.15,24
1981,21,0.22,24
1981,22,0.28,24
1981,23,0.35,24
1981,24,0.43,24
1981,25,0.51,24
1981,26,0.59,24
1981,27,0.69,24
1981,28,0.79,24
1981,29,0.9,24
1981,30,1.01,24
1981,31,1.13,24
1981,32,1.25,24
1981,33,1.36,24
1981,34,1.47,24
1981,35,1.57,24
1981,36,1.66,24
1981,37,1.74,24
1981,38,1.8,24
1981,39,1.85,24
1980,16,0.0,25
1980,17,0.02,25
1980,18,0.05,25
1980,19,0.1,25
1980,20,0.15,25
1980,21,0.22,25
1980,22,0.28,25
1980,23,0.35,25
1980,24,0.43,25
1980,25,0.51,25
1980,26,0.59,25
1980,27,0.68,25
1980,28,0.78,25
1980,29,0.89,25
1980,30,1.01,25
1980,31,1.12,25
1980,32,1.24,25
1980,33,1.36,25
1980,34,1.46,25
1980,35,1.56,25
1980,36,1.65,25
1980,37,1.73,25
1980,38,1.8,25
1980,39,1.85,25
1980,40,1.89,25
1979,16,0.0,26
1979,17,0.02,26
1979,18,0.05,26
1979,19,0.09,26
1979,20,0.15,26
1979,21,0.22,26
1979,22,0.28,26
1979,23,0.35,26
1979,24,0.43,26
1979,25,0.5,26
1979,26,0.59,26
1979,27,0.68,26
1979,28,0.78,26
1979,29,0.88,26
1979,30,1.0,26
1979,31,1.11,26
1979,32,1.23,26
1979,33,1.35,26
1979,34,1.46,26
1979,35,1.55,26
1979,36,1.64,26
1979,37,1.72,26
1979,38,1.79,26
1979,39,1.84,26
1979,40,1.88,26
1979,41,1.91,26
1978,16,0.0,27
1978,17,0.02,27
1978,18,0.05,27
1978,19,0.09,27
1978,20,0.15,27
1978,21,0.21,27
1978,22,0.28,27
1978,23,0.35,27
1978,24,0.42,27
1978,25,0.5,27
1978,26,0.58,27
1978,27,0.67,27
1978,28,0.77,27
1978,29,0.87,27
1978,30,0.98,27
1978,31,1.1,27
1978,32,1.22,27
1978,33,1.33,27
1978,34,1.44,27
1978,35,1.54,27
1978,36,1.63,27
1978,37,1.71,27
1978,38,1.78,27
1978,39,1.83,27
1978,40,1.87,27
1978,41,1.9,27
1978,42,1.92,27
1977,16,0.0,28
1977,17,0.02,28
1977,18,0.05,28
1977,19,0.09,28
1977,20,0.15,28
1977,21,0.22,28
1977,22,0.28,28
1977,23,0.36,28
1977,24,0.43,28
1977,25,0.51,28
1977,26,0.59,28
1977,27,0.68,28
1977,28,0.77,28
1977,29,0.87,28
1977,30,0.98,28
1977,31,1.1,28
1977,32,1.22,28
1977,33,1.33,28
1977,34,1.44,28
1977,35,1.54,28
1977,36,1.63,28
1977,37,1.71,28
1977,38,1.77,28
1977,39,1.82,28
1977,40,1.87,28
1977,41,1.9,28
1977,42,1.92,28
1977,43,1.93,28
1976,16,0.0,29
1976,17,0.02,29
1976,18,0.05,29
1976,19,0.09,29
1976,20,0.15,29
1976,21,0.21,29
1976,22,0.28,29
1976,23,0.36,29
1976,24,0.44,29
1976,25,0.51,29
1976,26,0.6,29
1976,27,0.68,29
1976,28,0.78,29
1976,29,0.88,29
1976,30,0.99,29
1976,31,1.1,29
1976,32,1.22,29
1976,33,1.33,29
1976,34,1.43,29
1976,35,1.53,29
1976,36,1.62,29
1976,37,1.7,29
1976,38,1.76,29
1976,39,1.81,29
1976,40,1.85,29
1976,41,1.88,29
1976,42,1.9,29
1976,43,1.92,29
1976,44,1.93,29
1975,16,0.0,30
1975,17,0.02,30
1975,18,0.05,30
1975,19,0.09,30
1975,20,0.15,30
1975,21,0.21,30
1975,22,0.28,30
1975,23,0.35,30
1975,24,0.43,30
1975,25,0.51,30
1975,26,0.6,30
1975,27,0.69,30
1975,28,0.78,30
1975,29,0.88,30
1975,30,0.99,30
1975,31,1.09,30
1975,32,1.21,30
1975,33,1.32,30
1975,34,1.42,30
1975,35,1.52,30
1975,36,1.61,30
1975,37,1.69,30
1975,38,1.75,30
1975,39,1.8,30
1975,40,1.84,30
1975,41,1.87,30
1975,42,1.89,30
1975,43,1.9,30
1975,44,1.91,30
1975,45,1.91,30
1974,16,0.0,30
1974,17,0.02,30
1974,18,0.05,30
1974,19,0.09,30
1974,20,0.15,30
1974,21,0.22,30
1974,22,0.28,30
1974,23,0.36,30
1974,24,0.44,30
1974,25,0.53,30
1974,26,0.61,30
1974,27,0.7,30
1974,28,0.8,30
1974,29,0.89,30
1974,30,1.0,30
1974,31,1.11,30
1974,32,1.22,30
