mothersdob,age,variable,value
1920.0,20,zero,93.0
1921.0,20,zero,93.0
1922.0,20,zero,94.0
1923.0,20,zero,94.0
1924.0,20,zero,93.0
1924.0,20,zero,93.0
1925.0,20,zero,93.0
1926.0,20,zero,93.0
1927.0,20,zero,93.0
1928.0,20,zero,92.0
1929.0,20,zero,91.0
1929.0,20,zero,91.0
1930.0,20,zero,91.0
1931.0,20,zero,91.0
1932.0,20,zero,91.0
1933.0,20,zero,91.0
1934.0,20,zero,91.0
1934.0,20,zero,91.0
1935.0,20,zero,91.0
1936.0,20,zero,90.0
1937.0,20,zero,90.0
1938.0,20,zero,89.0
1939.0,20,zero,88.0
1939.0,20,zero,88.0
1940.0,20,zero,87.0
1941.0,20,zero,86.0
1942.0,20,zero,86.0
1943.0,20,zero,85.0
1944.0,20,zero,84.0
1944.0,20,zero,84.0
1945.0,20,zero,83.0
1946.0,20,zero,83.0
1947.0,20,zero,83.0
1948.0,20,zero,82.0
1949.0,20,zero,82.0
1949.0,20,zero,82.0
1950.0,20,zero,81.0
1951.0,20,zero,81.0
1952.0,20,zero,80.0
1953.0,20,zero,81.0
1954.0,20,zero,82.0
1954.0,20,zero,82.0
1955.0,20,zero,82.0
1956.0,20,zero,84.0
1957.0,20,zero,85.0
1958.0,20,zero,86.0
1959.0,20,zero,87.0
1959.0,20,zero,87.0
1960.0,20,zero,87.0
1961.0,20,zero,87.0
1962.0,20,zero,88.0
1963.0,20,zero,88.0
1964.0,20,zero,89.0
1964.0,20,zero,89.0
1965.0,20,zero,89.0
1966.0,20,zero,89.0
1967.0,20,zero,88.0
1968.0,20,zero,88.0
1969.0,20,zero,87.0
1969.0,20,zero,87.0
1970.0,20,zero,87.0
1971.0,20,zero,87.0
1972.0,20,zero,87.0
1973.0,20,zero,87.0
1974.0,20,zero,88.0
1974.0,20,zero,88.0
1975.0,20,zero,88.0
1976.0,20,zero,88.0
1977.0,20,zero,88.0
1978.0,20,zero,88.0
1979.0,20,zero,87.0
1979.0,20,zero,87.0
1980.0,20,zero,87.0
1981.0,20,zero,87.0
1982.0,20,zero,87.0
1983.0,20,zero,88.0
1984.0,20,zero,88.0
1984.0,20,zero,88.0
1985.0,20,zero,89.0
1986.0,20,zero,89.0
1987.0,20,zero,89.0
1988.0,20,zero,89.0
1989.0,20,zero,89.0
1989.0,20,zero,89.0
1990.0,20,zero,89.0
1991.0,20,zero,90.0
1992.0,20,zero,91.0
1993.0,20,zero,91.0
1994.0,20,zero,92.0
1994.0,20,zero,92.0
1995.0,20,zero,93.0
1996.0,20,zero,94.0
1997.0,20,zero,94.0
1998.0,20,zero,94.0
1999.0,20,zero,95.0
1999.0,20,zero,95.0
2000.0,20,zero,95.0
2000.0,20,zero,95.0
1920.0,21,zero,89.0
1921.0,21,zero,88.0
1922.0,21,zero,88.0
1923.0,21,zero,88.0
1924.0,21,zero,88.0
1924.0,21,zero,88.0
1925.0,21,zero,88.0
1926.0,21,zero,87.0
1927.0,21,zero,85.0
1928.0,21,zero,85.0
1929.0,21,zero,84.0
1929.0,21,zero,84.0
1930.0,21,zero,84.0
1931.0,21,zero,84.0
1932.0,21,zero,84.0
1933.0,21,zero,84.0
1934.0,21,zero,83.0
1934.0,21,zero,83.0
1935.0,21,zero,83.0
1936.0,21,zero,82.0
1937.0,21,zero,82.0
1938.0,21,zero,80.0
1939.0,21,zero,79.0
1939.0,21,zero,79.0
1940.0,21,zero,78.0
1941.0,21,zero,77.0
1942.0,21,zero,77.0
1943.0,21,zero,76.0
1944.0,21,zero,75.0
1944.0,21,zero,75.0
1945.0,21,zero,74.0
1946.0,21,zero,74.0
1947.0,21,zero,75.0
1948.0,21,zero,74.0
1949.0,21,zero,74.0
1949.0,21,zero,74.0
1950.0,21,zero,74.0
1951.0,21,zero,73.0
1952.0,21,zero,73.0
1953.0,21,zero,74.0
1954.0,21,zero,76.0
1954.0,21,zero,76.0
1955.0,21,zero,77.0
1956.0,21,zero,78.0
1957.0,21,zero,80.0
1958.0,21,zero,81.0
1959.0,21,zero,82.0
1959.0,21,zero,82.0
1960.0,21,zero,82.0
1961.0,21,zero,82.0
1962.0,21,zero,83.0
1963.0,21,zero,84.0
1964.0,21,zero,85.0
1964.0,21,zero,85.0
1965.0,21,zero,85.0
1966.0,21,zero,84.0
1967.0,21,zero,84.0
1968.0,21,zero,83.0
1969.0,21,zero,83.0
1969.0,21,zero,83.0
1970.0,21,zero,82.0
1971.0,21,zero,83.0
1972.0,21,zero,83.0
1973.0,21,zero,83.0
1974.0,21,zero,83.0
1974.0,21,zero,83.0
1975.0,21,zero,84.0
1976.0,21,zero,84.0
1977.0,21,zero,83.0
1978.0,21,zero,83.0
1979.0,21,zero,83.0
1979.0,21,zero,83.0
1980.0,21,zero,83.0
1981.0,21,zero,83.0
1982.0,21,zero,83.0
1983.0,21,zero,84.0
1984.0,21,zero,84.0
1984.0,21,zero,84.0
1985.0,21,zero,85.0
1986.0,21,zero,84.0
1987.0,21,zero,85.0
1988.0,21,zero,85.0
1989.0,21,zero,85.0
1989.0,21,zero,85.0
1990.0,21,zero,85.0
1991.0,21,zero,86.0
1992.0,21,zero,87.0
1993.0,21,zero,88.0
1994.0,21,zero,90.0
1994.0,21,zero,90.0
1995.0,21,zero,90.0
1996.0,21,zero,91.0
1997.0,21,zero,91.0
1998.0,21,zero,92.0
1999.0,21,zero,92.0
1999.0,21,zero,92.0
1920.0,22,zero,83.0
1921.0,22,zero,82.0
1922.0,22,zero,81.0
1923.0,22,zero,81.0
1924.0,22,zero,81.0
1924.0,22,zero,81.0
1925.0,22,zero,80.0
1926.0,22,zero,77.0
1927.0,22,zero,76.0
1928.0,22,zero,76.0
1929.0,22,zero,76.0
1929.0,22,zero,76.0
1930.0,22,zero,76.0
1931.0,22,zero,76.0
1932.0,22,zero,76.0
1933.0,22,zero,75.0
1934.0,22,zero,75.0
1934.0,22,zero,75.0
1935.0,22,zero,74.0
1936.0,22,zero,73.0
1937.0,22,zero,72.0
1938.0,22,zero,71.0
1939.0,22,zero,70.0
1939.0,22,zero,70.0
1940.0,22,zero,69.0
1941.0,22,zero,67.0
1942.0,22,zero,67.0
1943.0,22,zero,67.0
1944.0,22,zero,66.0
1944.0,22,zero,66.0
1945.0,22,zero,65.0
1946.0,22,zero,65.0
1947.0,22,zero,66.0
1948.0,22,zero,66.0
1949.0,22,zero,66.0
1949.0,22,zero,66.0
1950.0,22,zero,66.0
1951.0,22,zero,66.0
1952.0,22,zero,67.0
1953.0,22,zero,68.0
1954.0,22,zero,70.0
1954.0,22,zero,70.0
1955.0,22,zero,71.0
1956.0,22,zero,73.0
1957.0,22,zero,74.0
1958.0,22,zero,75.0
1959.0,22,zero,76.0
1959.0,22,zero,76.0
1960.0,22,zero,77.0
1961.0,22,zero,77.0
1962.0,22,zero,78.0
1963.0,22,zero,79.0
1964.0,22,zero,80.0
1964.0,22,zero,80.0
1965.0,22,zero,80.0
1966.0,22,zero,80.0
1967.0,22,zero,79.0
1968.0,22,zero,78.0
1969.0,22,zero,78.0
1969.0,22,zero,78.0
1970.0,22,zero,78.0
1971.0,22,zero,78.0
1972.0,22,zero,79.0
1973.0,22,zero,79.0
1974.0,22,zero,80.0
1974.0,22,zero,80.0
1975.0,22,zero,80.0
1976.0,22,zero,80.0
1977.0,22,zero,79.0
1978.0,22,zero,79.0
1979.0,22,zero,79.0
1979.0,22,zero,79.0
1980.0,22,zero,79.0
1981.0,22,zero,79.0
1982.0,22,zero,79.0
1983.0,22,zero,80.0
1984.0,22,zero,80.0
1984.0,22,zero,80.0
1985.0,22,zero,81.0
1986.0,22,zero,80.0
1987.0,22,zero,80.0
1988.0,22,zero,81.0
1989.0,22,zero,81.0
1989.0,22,zero,81.0
1990.0,22,zero,82.0
1991.0,22,zero,83.0
1992.0,22,zero,84.0
1993.0,22,zero,86.0
1994.0,22,zero,87.0
1994.0,22,zero,87.0
1995.0,22,zero,87.0
1996.0,22,zero,88.0
1997.0,22,zero,89.0
1998.0,22,zero,89.0
1998.0,22,zero,89.0
1920.0,23,zero,75.0
1921.0,23,zero,74.0
1922.0,23,zero,73.0
1923.0,23,zero,73.0
1924.0,23,zero,72.0
1924.0,23,zero,72.0
1925.0,23,zero,69.0
1926.0,23,zero,68.0
1927.0,23,zero,67.0
1928.0,23,zero,67.0
1929.0,23,zero,68.0
1929.0,23,zero,68.0
1930.0,23,zero,67.0
1931.0,23,zero,67.0
1932.0,23,zero,67.0
1933.0,23,zero,66.0
1934.0,23,zero,65.0
1934.0,23,zero,65.0
1935.0,23,zero,64.0
1936.0,23,zero,63.0
1937.0,23,zero,62.0
1938.0,23,zero,61.0
1939.0,23,zero,60.0
1939.0,23,zero,60.0
1940.0,23,zero,58.0
1941.0,23,zero,57.0
1942.0,23,zero,57.0
1943.0,23,zero,57.0
1944.0,23,zero,57.0
1944.0,23,zero,57.0
1945.0,23,zero,56.0
1946.0,23,zero,56.0
1947.0,23,zero,58.0
1948.0,23,zero,58.0
1949.0,23,zero,59.0
1949.0,23,zero,59.0
1950.0,23,zero,59.0
1951.0,23,zero,60.0
1952.0,23,zero,61.0
1953.0,23,zero,62.0
1954.0,23,zero,65.0
1954.0,23,zero,65.0
1955.0,23,zero,66.0
1956.0,23,zero,68.0
1957.0,23,zero,68.0
1958.0,23,zero,69.0
1959.0,23,zero,71.0
1959.0,23,zero,71.0
1960.0,23,zero,71.0
1961.0,23,zero,72.0
1962.0,23,zero,73.0
1963.0,23,zero,74.0
1964.0,23,zero,75.0
1964.0,23,zero,75.0
