year,age,variable,value
1940.0,20,zero,0.93
1941.0,20,zero,0.93
1942.0,20,zero,0.9306930693069307
1943.0,20,zero,0.9306930693069307
1944.0,20,zero,0.93
1944.0,20,zero,0.93
1945.0,20,zero,0.93
1946.0,20,zero,0.93
1947.0,20,zero,0.9207920792079208
1948.0,20,zero,0.9108910891089109
1949.0,20,zero,0.91
1949.0,20,zero,0.91
1950.0,20,zero,0.91
1951.0,20,zero,0.91
1952.0,20,zero,0.91
1953.0,20,zero,0.91
1954.0,20,zero,0.91
1954.0,20,zero,0.91
1955.0,20,zero,0.91
1956.0,20,zero,0.9090909090909091
1957.0,20,zero,0.9
1958.0,20,zero,0.89
1959.0,20,zero,0.88
1959.0,20,zero,0.88
1960.0,20,zero,0.87
1961.0,20,zero,0.8686868686868687
1962.0,20,zero,0.86
1963.0,20,zero,0.85
1964.0,20,zero,0.8484848484848485
1964.0,20,zero,0.8484848484848485
1965.0,20,zero,0.8383838383838383
1966.0,20,zero,0.83
1967.0,20,zero,0.83
1968.0,20,zero,0.82
1969.0,20,zero,0.82
1969.0,20,zero,0.82
1970.0,20,zero,0.8181818181818182
1971.0,20,zero,0.81
1972.0,20,zero,0.8080808080808081
1973.0,20,zero,0.81
1974.0,20,zero,0.82
1974.0,20,zero,0.82
1975.0,20,zero,0.82
1976.0,20,zero,0.84
1977.0,20,zero,0.85
1978.0,20,zero,0.8686868686868687
1979.0,20,zero,0.8787878787878788
1979.0,20,zero,0.8787878787878788
1980.0,20,zero,0.8787878787878788
1981.0,20,zero,0.8787878787878788
1982.0,20,zero,0.88
1983.0,20,zero,0.8888888888888888
1984.0,20,zero,0.89
1984.0,20,zero,0.89
1985.0,20,zero,0.89
1986.0,20,zero,0.89
1987.0,20,zero,0.88
1988.0,20,zero,0.88
1989.0,20,zero,0.8787878787878788
1989.0,20,zero,0.8787878787878788
1990.0,20,zero,0.87
1991.0,20,zero,0.87
1992.0,20,zero,0.87
1993.0,20,zero,0.87
1994.0,20,zero,0.88
1994.0,20,zero,0.88
1995.0,20,zero,0.88
1996.0,20,zero,0.88
1997.0,20,zero,0.88
1998.0,20,zero,0.88
1999.0,20,zero,0.87
1999.0,20,zero,0.87
2000.0,20,zero,0.87
2001.0,20,zero,0.87
2002.0,20,zero,0.87
2003.0,20,zero,0.88
2004.0,20,zero,0.8888888888888888
2004.0,20,zero,0.8888888888888888
2005.0,20,zero,0.89
2006.0,20,zero,0.89
2007.0,20,zero,0.89
2008.0,20,zero,0.89
2009.0,20,zero,0.89
2009.0,20,zero,0.89
2010.0,20,zero,0.89
2011.0,20,zero,0.9
2012.0,20,zero,0.900990099009901
2013.0,20,zero,0.9191919191919192
2014.0,20,zero,0.9292929292929293
2014.0,20,zero,0.9292929292929293
2015.0,20,zero,0.93
2016.0,20,zero,0.94
2017.0,20,zero,0.9494949494949495
2018.0,20,zero,0.9494949494949495
2019.0,20,zero,0.95
2019.0,20,zero,0.95
2020.0,20,zero,0.95
2020.0,20,zero,0.95
1941.0,21,zero,0.89
1942.0,21,zero,0.88
1943.0,21,zero,0.88
1944.0,21,zero,0.8888888888888888
1945.0,21,zero,0.8712871287128713
1945.0,21,zero,0.8712871287128713
1946.0,21,zero,0.8712871287128713
1947.0,21,zero,0.87
1948.0,21,zero,0.85
1949.0,21,zero,0.85
1950.0,21,zero,0.8484848484848485
1950.0,21,zero,0.8484848484848485
1951.0,21,zero,0.84
1952.0,21,zero,0.84
1953.0,21,zero,0.84
1954.0,21,zero,0.84
1955.0,21,zero,0.8383838383838383
1955.0,21,zero,0.8383838383838383
1956.0,21,zero,0.8383838383838383
1957.0,21,zero,0.8282828282828283
1958.0,21,zero,0.82
1959.0,21,zero,0.8
1960.0,21,zero,0.79
1960.0,21,zero,0.79
