year,age,0,1,2,3,4,Total
,,,,,,,
1920,20,93,6,1,0,0,100
1921,,93,6,1,0,0,100
1922,,94,6,1,0,0,101
1923,,94,6,1,0,0,101
1924,,93,6,1,0,0,100
,,,,,,,
1925,,93,6,1,0,0,100
1926,,93,6,1,0,0,100
1927,,93,7,1,0,0,101
1928,,92,8,1,0,0,101
1929,,91,8,1,0,0,100
,,,,,,,
1930,,91,8,1,0,0,100
1931,,91,8,1,0,0,100
1932,,91,8,1,0,0,100
1933,,91,8,1,0,0,100
1934,,91,8,1,0,0,100
,,,,,,,
1935,,91,8,1,0,0,100
1936,,90,8,1,0,0,99
1937,,90,9,1,0,0,100
1938,,89,9,2,0,0,100
1939,,88,10,2,0,0,100
,,,,,,,
1940,,87,11,2,0,0,100
1941,,86,11,2,0,0,99
1942,,86,12,2,0,0,100
1943,,85,12,3,0,0,100
1944,,84,12,3,0,0,99
,,,,,,,
1945,,83,13,3,0,0,99
1946,,83,13,4,0,0,100
1947,,83,13,4,0,0,100
1948,,82,14,4,0,0,100
1949,,82,14,4,0,0,100
,,,,,,,
1950,,81,14,4,0,0,99
1951,,81,15,4,0,0,100
1952,,80,15,4,0,0,99
1953,,81,15,4,0,0,100
1954,,82,14,4,0,0,100
,,,,,,,
1955,,82,14,4,0,0,100
1956,,84,13,3,0,0,100
1957,,85,12,3,0,0,100
1958,,86,11,2,0,0,99
1959,,87,10,2,0,0,99
,,,,,,,
1960,,87,10,2,0,0,99
1961,,87,10,2,0,0,99
1962,,88,10,2,0,0,100
1963,,88,9,2,0,0,99
1964,,89,9,2,0,0,100
,,,,,,,
1965,,89,9,2,0,0,100
1966,,89,9,2,0,0,100
1967,,88,10,2,0,0,100
1968,,88,10,2,0,0,100
1969,,87,10,2,0,0,99
,,,,,,,
1970,,87,11,2,0,0,100
1971,,87,11,2,0,0,100
1972,,87,11,2,0,0,100
1973,,87,11,2,0,0,100
1974,,88,10,2,0,0,100
,,,,,,,
1975,,88,10,2,0,0,100
1976,,88,10,2,0,0,100
1977,,88,10,2,0,0,100
1978,,88,10,2,0,0,100
1979,,87,11,2,0,0,100
,,,,,,,
1980,,87,11,2,0,0,100
1981,,87,11,2,0,0,100
1982,,87,11,2,0,0,100
1983,,88,10,2,0,0,100
1984,,88,9,2,0,0,99
,,,,,,,
1985,,89,9,2,0,0,100
1986,,89,9,2,0,0,100
1987,,89,9,2,0,0,100
1988,,89,9,2,0,0,100
1989,,89,9,2,0,0,100
,,,,,,,
1990,,89,9,2,0,0,100
1991,,90,8,2,0,0,100
1992,,91,8,2,0,0,101
1993,,91,7,1,0,0,99
1994,,92,6,1,0,0,99
,,,,,,,
1995,,93,5,2,0,0,100
1996,,94,5,1,0,0,100
1997,,94,4,1,0,0,99
1998,,94,4,1,0,0,99
1999,,95,4,1,0,0,100
,,,,,,,
2000,,95,4,1,0,0,100
,,,,,,,
1920,21,89,9,2,0,0,100
